Player Name,Team,Year,Wickets,Bowling Average,Economy,Salary ($),Value for Money
M Ashwin,KXIP,2020,10,23.5,7.46,28600,7.38692199532996
M Kartik,RCB,2013,9,31.55,7.28,400000,0.3628173200280967
M Kartik,KXIP,2014,1,91.0,11.37,400000,0.008948997515400332
M Markande,MI,2018,15,24.53,8.36,31250,8.669092712262195
M Markande,MI,2019,1,59.0,9.83,31250,0.20435284328244313
M Morkel,DC,2013,7,47.85,8.37,475000,0.1362803581137287
M Morkel,KKR,2014,12,30.58,7.64,466000,0.40822606013829893
M Morkel,KKR,2015,10,20.6,7.35,466000,0.5249231903517104
M Morkel,KKR,2016,10,29.7,8.36,466000,0.3201014138641296
M Prasidh Krishna,KKR,2018,10,26.0,9.28,15620,9.827292488778651
M Prasidh Krishna,KKR,2019,4,94.25,9.34,15620,1.0774247867783016
M Prasidh Krishna,KKR,2020,4,41.0,9.37,15620,2.4688332058125444
M de Lange,MI,2014,2,16.0,8.0,50000,1.1574074074074077
MA Starc,RCB,2014,14,28.71,7.49,833000,0.28947046576743213
MA Starc,RCB,2015,20,14.55,6.76,833000,0.9040897402586251
MC Henriques,RCB,2013,7,26.42,8.74,300000,0.3742560031251019
MC Henriques,SRH,2014,4,24.0,9.6,166000,0.38735187664237214
MC Henriques,SRH,2015,11,14.36,6.32,166000,2.7042654199495666
MC Henriques,SRH,2016,12,34.58,7.98,166000,0.9702452238723165
MC Henriques,SRH,2017,1,248.0,10.33,166000,0.008709157517487678
MG Johnson,MI,2013,24,19.12,7.17,300000,2.1613205322640847
MG Johnson,KXIP,2014,17,26.11,8.29,1083000,0.26859337615208595
MG Johnson,KXIP,2015,9,37.33,9.37,1083000,0.08799392861673584
MG Johnson,KXIP,2016,2,53.0,9.63,1083000,0.01340095096726118
MG Johnson,MI,2017,7,20.14,7.05,299000,0.61068113532194
MG Johnson,KKR,2018,2,108.0,10.28,312500,0.0213500717896164
MJ Henry,KXIP,2017,1,71.0,14.2,75000,0.048981071265009654
MJ McClenaghan,MI,2015,18,21.44,8.21,50000,7.574793511128888
MJ McClenaghan,MI,2016,17,25.64,8.17,50000,6.011392366479375
MJ McClenaghan,MI,2017,19,26.68,9.38,50000,5.6238168525308545
MJ McClenaghan,MI,2018,14,23.71,8.3,50000,5.26968457738353
MJ McClenaghan,MI,2019,3,47.33,7.88,50000,0.59583329013542
MJ Santner,CSK,2019,4,23.5,6.71,78130,1.2025081276596168
MJ Santner,CSK,2020,2,26.5,7.57,78130,0.4726140776900043
MM Ali,RCB,2018,3,32.33,7.36,265630,0.17579108608588365
MM Ali,RCB,2019,6,28.16,6.76,265630,0.4394718050786788
MM Ali,RCB,2020,1,42.0,8.4,265630,0.03952123770297875
MM Patel,MI,2013,3,45.66,9.13,700000,0.0380761269256116
MM Patel,GL,2017,1,57.0,8.14,45000,0.17738809161811114
MM Sharma,CSK,2014,23,19.65,8.39,333000,1.551655563071742
MM Sharma,CSK,2015,14,34.35,8.43,333000,0.5377318021772866
MM Sharma,KXIP,2016,13,31.3,8.39,975000,0.18804798063030584
MM Sharma,KXIP,2017,13,31.53,8.97,975000,0.17460575689760077
MM Sharma,KXIP,2018,7,46.0,10.85,375000,0.13852094263501463
MM Sharma,CSK,2019,1,27.0,9.0,714300,0.02133778388294451
MM Sharma,DC,2020,1,45.0,11.25,71400,0.10246439682411605
MN Samuels,PWI,2013,1,34.0,8.5,400000,0.032038959374599524
MP Stoinis,KXIP,2016,8,24.25,8.43,82500,1.7568430167843978
MP Stoinis,KXIP,2017,2,55.0,10.47,82500,0.1559203897775864
MP Stoinis,KXIP,2018,3,40.0,10.9,968750,0.02630627075729177
MP Stoinis,RCB,2019,2,72.5,8.7,968750,0.012122641353076197
MP Stoinis,DC,2020,13,21.76,9.53,685700,0.33860521846430475
MR Marsh,PWI,2013,7,26.0,9.41,290000,0.3654040078973203
MR Marsh,RPS,2016,4,11.25,5.0,720000,0.3657978966620943
MS Gony,KXIP,2013,7,36.57,9.14,500000,0.1551290437626346
Mohammad Nabi,SRH,2017,2,29.0,5.27,45000,1.077072914335814
Mohammad Nabi,SRH,2018,1,47.0,9.4,156250,0.05365256610163809
Mohammad Nabi,SRH,2019,8,24.25,6.65,156250,1.1759065475831618
Mohammed Shami,DC,2014,7,52.71,8.38,708000,0.08290180440506008
Mohammed Shami,DC,2016,5,48.8,9.69,708000,0.05531327632515204
Mohammed Shami,DC,2017,5,48.6,9.34,708000,0.05762220019745
Mohammed Shami,DC,2018,3,48.0,10.4,708000,0.03143761971445588
Mohammed Shami,KXIP,2019,19,24.68,8.68,685700,0.4790609890625302
Mohammed Shami,KXIP,2020,20,23.0,8.57,685700,0.5480540912146248
Mohammed Siraj,SRH,2017,10,21.2,9.21,388000,0.4888875966611935
Mohammed Siraj,RCB,2018,11,33.36,8.95,406250,0.33588179830962145
Mohammed Siraj,RCB,2019,7,38.42,9.55,406250,0.17393227190698515
Mohammed Siraj,RCB,2020,11,21.45,8.68,406250,0.5386275030609192
Mujeeb Ur Rahman,KXIP,2018,14,20.64,6.99,625000,0.5750391129282348
Mujeeb Ur Rahman,KXIP,2019,3,63.66,10.05,625000,0.02778719937506589
Mustafizur Rahman,SRH,2016,17,24.76,6.9,210000,1.7549555919843045
Mustafizur Rahman,MI,2018,7,32.85,8.36,343750,0.2746312272722737
N Rana,KKR,2018,4,11.0,7.13,531250,0.3555617778866686
N Rana,KKR,2019,3,24.0,9.0,531250,0.09682885499878967
NA Saini,RCB,2019,11,36.09,8.27,468750,0.2912026002671461
NA Saini,RCB,2020,6,63.16,8.29,468750,0.09054188953057625
NB Singh,GL,2017,1,15.0,3.75,75000,0.8779149519890261
NLTC Perera,SRH,2013,19,25.15,8.01,650000,0.5374102861587444
NLTC Perera,KXIP,2015,1,55.0,9.16,266000,0.027637352390282754
NLTC Perera,RPS,2016,9,36.22,9.82,150000,0.6247806239034319
NM Coulter-Nile,MI,2013,1,29.0,7.25,450000,0.039146029369308555
NM Coulter-Nile,DC,2014,2,13.5,6.75,708000,0.11481415463342572
NM Coulter-Nile,DC,2015,15,21.4,7.55,708000,0.48566131588340583
NM Coulter-Nile,DC,2016,3,38.0,7.6,708000,0.05434092715185725
NM Coulter-Nile,KKR,2017,15,15.2,8.04,522000,0.8708780713849144
NM Coulter-Nile,MI,2020,5,41.2,7.92,1142900,0.04965644333995423
O Thomas,RR,2019,5,15.8,7.9,157100,0.9443780338923452
P Awana,KXIP,2013,15,27.46,7.62,60000,4.425076063517472
P Awana,KXIP,2014,7,35.0,10.42,108000,0.658225581805592
P Kumar,KXIP,2013,12,31.08,6.62,800000,0.27001537575555706
P Kumar,MI,2014,3,26.0,6.5,800000,0.08218277449046679
P Kumar,SRH,2015,7,47.0,9.13,366667,0.16477594655909664
P Kumar,GL,2016,9,44.55,7.78,525000,0.18318593963647764
P Kumar,GL,2017,6,25.16,9.15,525000,0.18386389328208683
P Negi,CSK,2015,6,42.0,8.4,16000,3.936759889140842
P Negi,DC,2016,1,84.0,9.33,1275000,0.0037065095314189884
P Negi,RCB,2017,16,12.31,6.12,149000,5.279107126240446
P Negi,RCB,2018,1,49.0,12.25,156250,0.03948971879001035
P Negi,RCB,2019,3,34.0,9.13,156250,0.22908031412638077
P Sahu,KXIP,2016,3,48.66,8.34,15000,1.8252740366048492
P Suyal,MI,2014,1,35.0,11.66,16000,0.5672175483496239
PJ Cummins,DC,2017,15,24.86,8.07,672000,0.4120819223186783
PJ Cummins,KKR,2020,12,34.08,7.86,2214300,0.07493054470662425
PJ Sangwan,GL,2017,5,36.2,10.05,30000,1.6967206800727963
PP Chawla,KXIP,2013,11,38.0,7.16,900000,0.16637566051137226
PP Chawla,KKR,2014,14,21.64,7.67,708000,0.44124357379855983
PP Chawla,KKR,2015,11,24.45,7.68,708000,0.3064471451375045
PP Chawla,KKR,2016,11,24.81,7.72,708000,0.3004357423430509
PP Chawla,KKR,2017,6,29.83,8.95,708000,0.11756497067334166
PP Chawla,KKR,2018,14,29.42,8.4,656250,0.31972235310856056
PP Chawla,KKR,2019,10,39.9,8.96,656250,0.1578650582111616
PP Chawla,CSK,2020,6,31.83,9.09,964300,0.07964798582195497
PP Ojha,MI,2013,16,23.81,7.28,800000,0.42734188051281724
PP Ojha,MI,2014,4,95.0,8.26,541000,0.03489757983451726
PV Tambe,RR,2014,15,23.73,7.26,16000,20.154552200677173
PV Tambe,RR,2015,7,38.0,7.82,16000,5.452854927885215
PV Tambe,GL,2016,5,28.6,8.93,30000,2.416949038822873
Parvez Rasool,SRH,2014,1,83.0,9.22,158000,0.03063163197040093
Parvez Rasool,SRH,2015,1,31.0,6.2,158000,0.12196234485779925
Parvez Rasool,RCB,2016,1,129.0,9.21,158000,0.019730123712571452
R Ashwin,CSK,2013,15,26.0,6.72,850000,0.37408125643419765
R Ashwin,CSK,2014,16,27.31,7.3,1250000,0.23779441224002157
R Ashwin,CSK,2015,10,22.8,5.84,1250000,0.2225248560264182
R Ashwin,RPS,2016,10,31.9,7.25,1250000,0.1281142779359189
R Ashwin,KXIP,2018,10,41.0,8.09,1187500,0.0940308234214561
R Ashwin,KXIP,2019,15,26.66,7.27,1187500,0.2413789093645187
R Ashwin,DC,2020,13,30.07,7.66,1100000,0.19003111005149764
R Bhatia,RR,2014,12,23.58,7.44,283000,0.8951881200057256
R Bhatia,RPS,2016,6,40.66,7.17,90000,0.8469513153158162
R Bhatia,RPS,2017,2,27.5,7.85,90000,0.3812601123287607
R Dhawan,KXIP,2014,13,28.07,7.71,500000,0.44495162083810447
R Dhawan,KXIP,2015,1,110.0,9.16,500000,0.007351535735815213
R Dhawan,KXIP,2016,2,28.0,8.0,500000,0.06613756613756615
R McLaren,KKR,2013,3,31.33,13.42,50000,0.5285360023132966
R Parag,RR,2019,2,60.5,8.64,28600,0.49548565006171374
R Rampaul,RCB,2013,13,20.07,6.92,290000,1.1954409355016105
R Rampaul,RCB,2014,1,37.0,6.16,150000,0.10833344166677503
R Sathish,KKR,2016,1,59.0,9.83,30000,0.21286754508587827
R Sharma,PWI,2013,9,31.22,6.85,60000,2.5977899042610515
R Sharma,DC,2014,1,65.0,10.83,316000,0.01664973555058528
R Shukla,DC,2014,2,49.0,10.88,66000,0.21052191920539268
R Tewatia,KXIP,2017,3,16.33,5.44,37000,3.380420152150278
R Tewatia,DC,2018,6,28.83,7.86,468750,0.20920835134895094
R Tewatia,DC,2019,2,21.0,6.63,468750,0.11349902417440547
R Tewatia,RR,2020,10,32.6,7.08,430000,0.3731787644803437
R Vinay Kumar,RCB,2013,23,21.43,8.19,1000000,0.48535331368327705
R Vinay Kumar,KKR,2014,7,40.14,8.78,466000,0.15786159085514684
R Vinay Kumar,MI,2015,7,52.57,8.45,466000,0.12524306093043985
R Vinay Kumar,MI,2016,3,21.33,7.11,466000,0.15722120396808928
R Vinay Kumar,MI,2017,2,15.5,10.33,466000,0.09927692002767069
R Vinay Kumar,KKR,2018,2,32.5,16.95,156250,0.0860583751439209
RA Jadeja,CSK,2013,13,24.84,7.48,2000000,0.12956759665104842
RA Jadeja,CSK,2014,19,23.31,8.15,916667,0.40409023669858174
RA Jadeja,CSK,2015,11,30.0,7.73,916667,0.19165342079704253
RA Jadeja,GL,2016,8,38.87,7.74,916667,0.1074382991650228
RA Jadeja,GL,2017,5,69.8,9.18,916667,0.031528008527061
RA Jadeja,CSK,2018,11,27.54,7.39,1093750,0.18302165603225062
RA Jadeja,CSK,2019,15,22.86,6.35,1093750,0.34991251640351617
RA Jadeja,CSK,2020,6,53.0,8.75,1093750,0.043811235185898266
RD Chahar,RPS,2017,2,29.0,8.28,15000,2.056584876286138
RD Chahar,MI,2019,13,23.69,6.55,296880,1.045182876830302
RD Chahar,MI,2020,15,28.86,8.16,296880,0.7946210544738506
RE van der Merwe,DC,2013,3,23.66,6.45,50000,1.4561731914146945
RG More,CSK,2015,1,59.0,10.11,16000,0.388072694398031
RG Sharma,MI,2014,1,26.0,8.66,1916667,0.00858219405620297
RN ten Doeschate,KKR,2014,1,35.0,7.0,166000,0.09106721671265562
RP Singh,RCB,2013,13,25.76,8.41,600000,0.3704132243310931
RP Singh,RPS,2016,3,37.0,9.25,45000,0.7214421628836043
RS Bopara,SRH,2015,6,26.66,8.0,166667,0.6251550387621905
Rashid Khan,SRH,2017,17,21.05,6.62,597000,0.756834178462681
Rashid Khan,SRH,2018,21,21.8,6.73,1406250,0.3769827145010609
Rashid Khan,SRH,2019,17,22.17,6.28,1406250,0.3215861118875879
Rashid Khan,SRH,2020,20,17.2,5.37,1406250,0.5702968377218568
Ravi Bishnoi,KXIP,2020,12,31.33,7.37,285700,0.6737198740169176
S Badree,CSK,2014,2,48.5,6.92,50000,0.44141632843140505
S Badree,RCB,2017,9,20.88,7.52,75000,2.830539025207649
S Dube,RCB,2020,4,18.25,8.11,714300,0.14013023619899032
S Gopal,MI,2014,6,18.83,8.07,16000,9.139946398967144
S Gopal,MI,2015,1,23.0,10.61,16000,0.9485779677969164
S Gopal,RR,2018,11,21.45,7.61,31250,7.986692174164798
S Gopal,RR,2019,20,17.35,7.22,31250,18.92254440810725
S Gopal,RR,2020,10,42.7,8.54,31250,3.250128024574219
S Kaul,DC,2014,2,63.0,9.69,75000,0.16178588972228852
S Kaul,SRH,2017,16,18.75,8.41,16667,22.54766196348245
S Kaul,SRH,2018,21,26.04,8.28,593750,0.6075479940132222
S Kaul,SRH,2019,6,40.33,8.96,593750,0.10357325663940828
S Kaul,SRH,2020,2,32.0,16.0,593750,0.024366471734892793
S Kaushik,GL,2016,6,32.0,8.34,15000,5.551114663824496
S Lamichhane,DC,2018,5,16.4,6.83,31250,5.290438458313331
S Lamichhane,DC,2019,8,26.25,9.13,31250,3.9561806630079728
S Nadeem,DC,2014,8,38.87,8.18,141000,0.6609053475581758
S Nadeem,DC,2016,2,63.5,8.46,141000,0.09779193296449053
S Nadeem,DC,2017,6,19.83,6.67,141000,1.191570726917645
S Nadeem,DC,2018,3,53.66,10.73,500000,0.038595537715154206
S Nadeem,SRH,2019,2,45.0,10.0,500000,0.03292181069958849
S Nadeem,SRH,2020,5,35.6,8.09,500000,0.12859903694753214
S Sandeep Warrier,KKR,2019,2,42.5,7.08,16000,1.538594094260429
S Sreesanth,RR,2013,5,32.6,7.52,900000,0.08393213878427591
SB Jakati,GL,2016,2,89.0,8.9,30000,0.3117202124061528
SE Rutherford,DC,2019,1,59.0,8.63,285700,0.02546028073829986
SK Raina,CSK,2013,1,23.0,11.5,1300000,0.010771277311920034
SK Raina,CSK,2014,1,134.0,7.44,1583333,0.0023463145753179963
SK Raina,CSK,2015,2,46.5,7.75,1583333,0.01298193148253364
SK Raina,GL,2017,1,102.0,8.5,1583333,0.0026980181995490543
SL Malinga,MI,2013,20,23.4,7.16,1100000,0.40192467256402714
SL Malinga,MI,2014,16,15.81,6.45,1350000,0.4304580811815828
SL Malinga,MI,2015,24,18.5,7.4,1350000,0.48096144192240287
SL Malinga,MI,2017,11,34.72,8.52,1350000,0.10201777355876786
SL Malinga,MI,2019,16,27.37,9.76,285700,0.7764640682043965
SM Boland,RPS,2016,2,27.0,7.71,75000,0.47444603976925337
SM Curran,KXIP,2019,10,32.3,9.78,1028600,0.11398516670729605
SM Curran,CSK,2020,13,26.46,8.19,785700,0.2827802625648344
SMSM Senanayake,KKR,2013,9,23.22,6.53,625000,0.35174127318909304
SN Thakur,KXIP,2015,1,38.0,12.66,33000,0.2332947650427765
SN Thakur,RPS,2017,11,28.63,8.25,33000,5.226845759309764
SN Thakur,CSK,2018,16,26.93,9.23,406250,0.5868468666163746
SN Thakur,CSK,2019,8,35.12,9.36,406250,0.22187199727452447
SN Thakur,CSK,2020,10,27.5,8.5,406250,0.3900239194356842
SP Narine,KKR,2013,22,15.9,5.46,700000,1.3408219457934947
SP Narine,KKR,2014,21,19.38,6.35,700000,0.9028799160682833
SP Narine,KKR,2015,7,33.42,7.31,700000,0.1516046120184799
SP Narine,KKR,2016,11,27.63,7.12,700000,0.29584892968204557
SP Narine,KKR,2017,10,41.2,6.98,700000,0.18398633025722913
SP Narine,KKR,2018,17,27.47,7.65,1953130,0.15340302081383375
SP Narine,KKR,2019,10,34.7,7.82,1953130,0.06988256822417233
SP Narine,KKR,2020,5,60.4,7.94,1953130,0.019770499793465537
SR Watson,RR,2013,13,22.92,7.15,1300000,0.2260037164051126
SR Watson,RR,2014,7,23.57,7.85,1300000,0.10778583346000095
SR Watson,RR,2015,6,44.83,9.27,1300000,0.04113349964306509
SR Watson,RCB,2016,20,24.25,8.58,1425000,0.2498344573463643
SR Watson,RCB,2017,5,49.0,9.13,1425000,0.029048553975328746
SR Watson,CSK,2018,6,41.83,8.96,625000,0.09486621965703966
SS Cottrell,KXIP,2020,6,29.33,8.8,1214300,0.07090335018247365
STR Binny,RCB,2016,1,134.0,7.88,300000,0.01169186966090772
STR Binny,RCB,2017,4,12.5,8.33,300000,0.4742637795859086
STR Binny,RR,2019,1,44.0,6.28,78130,0.17155607095940092
Sachin Baby,RCB,2016,2,4.0,4.8,15000,25.720164609053505
Sandeep Sharma,KXIP,2014,18,19.66,8.81,141000,2.7297960837684774
Sandeep Sharma,KXIP,2015,13,26.92,7.0,141000,1.8121217788211144
Sandeep Sharma,KXIP,2016,15,24.4,7.32,141000,2.2060099900838974
Sandeep Sharma,KXIP,2017,17,23.41,8.29,141000,2.3009654644137143
Sandeep Sharma,SRH,2018,12,27.75,7.56,468750,0.4519510692350199
Sandeep Sharma,SRH,2019,12,29.33,8.25,468750,0.391841282851625
Sandeep Sharma,SRH,2020,14,26.71,7.19,468750,0.5759969879471795
Shahbaz Ahmed,RCB,2020,2,22.0,7.33,28600,1.6061035532696206
Shakib Al Hasan,KKR,2014,11,30.36,6.68,466000,0.43108684940527886
Shakib Al Hasan,KKR,2015,4,30.75,8.78,466000,0.11775264588944197
Shakib Al Hasan,KKR,2016,5,48.6,7.83,466000,0.10442928203116701
Shakib Al Hasan,SRH,2018,14,32.57,8.0,312500,0.6368050580516041
Shakib Al Hasan,SRH,2019,2,47.5,8.76,312500,0.056966363142763064
Shivam Mavi,KKR,2018,5,54.0,9.64,468750,0.07589167980541375
Shivam Mavi,KKR,2020,9,23.55,8.15,468750,0.37050062449616983
Shivam Sharma,KXIP,2014,3,40.33,7.56,16000,2.277652634431432
Shivam Sharma,KXIP,2015,1,44.0,14.66,16000,0.35886376268368086
Swapnil Singh,KXIP,2017,1,61.0,8.71,15000,0.464726017291061
T Natarajan,KXIP,2017,2,57.5,9.07,450000,0.031563022577621856
T Natarajan,SRH,2020,16,31.5,8.02,62500,3.753109876689817
TA Boult,SRH,2015,9,26.22,8.42,633333,0.2383975834307823
TA Boult,SRH,2016,1,39.0,9.75,633333,0.015379240747524009
TA Boult,KKR,2017,5,43.2,9.06,746000,0.06342426867515516
TA Boult,DC,2018,18,25.88,8.84,343750,0.847714276207776
TA Boult,DC,2019,5,32.6,8.57,343750,0.19282578645744494
TA Boult,MI,2020,25,18.28,7.97,460000,1.3816050120014172
TG Southee,RR,2015,6,41.16,8.82,200000,0.30606490877674186
TG Southee,MI,2016,9,36.55,7.65,375000,0.3179059534843983
TG Southee,MI,2017,3,32.0,9.6,375000,0.09645061728395064
TG Southee,RCB,2018,5,52.2,9.0,156250,0.25227441149109947
TG Southee,RCB,2019,1,118.0,13.11,156250,0.015322566357486012
TK Curran,RR,2020,3,69.33,11.44,142900,0.09803429660207374
TM Head,RCB,2017,2,40.5,10.12,75000,0.24097358146383022
TS Mills,RCB,2017,5,30.6,8.57,1791000,0.03942833210147948
TU Deshpande,DC,2020,3,64.0,11.29,28600,0.5376721497182083
UT Yadav,KKR,2014,11,33.36,8.15,433000,0.34606475751750215
UT Yadav,KKR,2015,10,38.2,9.09,433000,0.24633214769877135
UT Yadav,KKR,2016,10,23.4,9.0,433000,0.406153287286923
UT Yadav,KKR,2017,17,24.11,8.45,433000,0.7137454316358907
UT Yadav,RCB,2018,20,20.9,7.86,656250,0.6871128696047228
UT Yadav,RCB,2019,8,46.37,9.8,656250,0.09935591673138969
V Shankar,DC,2018,1,58.0,11.6,500000,0.01100982076011803
V Shankar,SRH,2019,1,70.0,8.75,500000,0.012093726379440667
V Shankar,SRH,2020,4,20.5,6.22,500000,0.23237102681852115
VR Aaron,RCB,2014,16,18.68,8.15,333000,1.168900392212984
VR Aaron,RCB,2015,3,59.0,10.21,333000,0.05539052778659457
VR Aaron,RCB,2016,2,113.5,9.59,333000,0.020436547513159486
VR Aaron,KXIP,2017,7,23.28,8.15,418000,0.32690187334910586
VR Aaron,RR,2019,4,29.0,9.66,342900,0.1542245876480043
VS Malik,RR,2014,1,29.0,9.66,33000,0.40063341745833847
WD Parnell,PWI,2013,6,22.83,9.23,160000,0.6591130205351674
WD Parnell,DC,2014,6,37.16,7.39,166000,0.48748275229961857
Washington Sundar,RCB,2018,4,48.0,9.6,500000,0.06430041152263377
Washington Sundar,RCB,2019,4,18.5,8.22,500000,0.1948420439904625
Washington Sundar,RCB,2020,8,37.25,5.96,500000,0.2669215767724844
Y Prithvi Raj,KKR,2019,1,57.0,11.4,28600,0.19929228916609654
YK Pathan,KKR,2015,2,48.5,9.7,541000,0.029104188432506842
YK Pathan,KKR,2016,1,33.0,5.5,541000,0.03771918856218415
YK Pathan,KKR,2017,1,41.0,10.25,541000,0.016290381258861206
YK Pathan,SRH,2018,1,14.0,7.0,296880,0.12730023893745648
YS Chahal,RCB,2014,12,32.16,7.01,16000,12.321496022818232
YS Chahal,RCB,2015,23,18.04,8.86,16000,33.30993874956878
YS Chahal,RCB,2016,21,19.09,8.15,16000,31.24438716901928
YS Chahal,RCB,2017,14,23.78,7.65,16000,17.814391952048137
YS Chahal,RCB,2018,12,30.25,7.26,937500,0.21586598095488657
YS Chahal,RCB,2019,18,21.44,7.82,937500,0.42413677562740437
YS Chahal,RCB,2020,21,19.28,7.08,937500,0.6077765882721695
Yuvraj Singh,PWI,2013,6,25.33,6.9,1800000,0.07063674861306513
Yuvraj Singh,RCB,2014,5,37.4,8.25,2333000,0.025725625945061427
Yuvraj Singh,DC,2015,1,72.0,8.0,2666667,0.002411265130690625
Yuvraj Singh,SRH,2017,1,22.0,11.0,1050000,0.014575772151529732
Z Khan,RCB,2013,5,9.4,7.83,900000,0.27955940989705175
Z Khan,MI,2014,5,29.2,6.53,433000,0.224296404116475
Z Khan,DC,2015,7,22.28,6.45,666667,0.27061409714593804
Z Khan,DC,2016,10,33.7,7.71,666667,0.213817377631238
Z Khan,DC,2017,10,31.3,7.79,666667,0.2278481373178183
